id,label,page_type,facebook_id
0,The Voice of China 中国好声音,tvshow,146000000000000    
1,U.S. Consulate General Mumbai,government,191000000000    
2,ESET,company,145000000000000    
3,Consulate General of Switzerland in Montreal,government,569000000000000    
4,Mark Bailey MP - Labor for Miller,politician,1410000000000000    
5,Victor Dominello MP,politician,134000000000000    
6,Jean-Claude Poissant,politician,283000000000000    
7,Deputado Ademir Camilo,politician,239000000000000    
8,T.C. Mezar-ı Şerif Başkonsolosluğu,government,545000000000000    
9,Army ROTC Fighting Saints Battalion,government,285000000000    
10,NASA Student Launch,government,295000000000000    
11,Eliziane Gama,politician,838000000000000    
12,Socialstyrelsen,government,190000000000    
13,Brisbane Water LAC - NSW Police Force,government,153000000000000    
14,NASA's Marshall Space Flight Center,government,375000000000    
15,Municipio de Lomas de Zamora,government,136000000000000    
16,Die Techniker (TK),company,219000000000000    
17,Digvijaya Singh,politician,603000000000000    
18,1st Armored Division Sustainment Brigade,government,107000000000    
19,Shapeways,company,289000000000    
20,Françoise Guégot,politician,201000000000000    
21,Hydro Coco,company,312000000000000    
22,Embassy of the Netherlands in Uganda,government,197000000000000    
23,Ford Danmark,company,122000000000000    
24,Schweppes Australia,company,127000000000000    
25,TalkTalk,company,9615015947    
26,National Institute of General Medical Sciences,government,137000000000    
27,Poppy Cat,tvshow,220000000000000    
28,Tahiti Tourisme,company,77064798220    
29,Marriott Rewards,company,314000000000000    
30,TeleCentro,company,239000000000000    
31,Ministerio de Comunicaciones de la República Argentina,government,1090000000000000    
32,Policía Nacional de los Colombianos,government,115000000000000    
33,Lance Gooden,politician,139000000000000    
34,Ivan ŠTEFANEC,politician,325000000000000    
35,Omoda,company,115000000000000    
36,Sunrun,company,334000000000    
37,NCBI - National Center for Biotechnology Information,government,368000000000    
38,T.C. Niamey Büyükelçiliği/ Ambassade de Turquie à Niamey,government,313000000000000    
39,Tennessee Secretary of State,government,403000000000000    
40,張宏陸,politician,180000000000000    
41,Nuevo León Extraordinario,government,30577197161    
42,Honey Bunches of Oats,company,57816252527    
43,St. Cloud VA Health Care System,government,216000000000000    
44,APB FOX,tvshow,1510000000000000    
45,Volaris,company,5830082681    
46,Eduardo Barbosa,politician,391000000000000    
47,Service de police de la Ville de Montréal - SPVM,government,519000000000000    
48,Hotel Indigo,company,328000000000000    
49,Digicel,company,130000000000    
50,Alabama Ecological Services Field Office,government,126000000000000    
51,Ulli Sima,politician,347000000000000    
52,식샤를합시다,tvshow,1390000000000000    
53,LION,company,624000000000000    
54,Policía de Seguridad Aeroportuaria,government,123000000000000    
55,Abendschau,tvshow,141000000000000    
56,"Historic Preservation Division, Illinois Department of Natural Resources",government,378000000000000    
57,KOHLER,company,252000000000    
58,Narragansett Fire Department,government,677000000000000    
59,Pat Toomey,politician,89324781720    
60,Jean Rioux,politician,1490000000000000    
61,Windows,company,30968512668    
62,Manolo Jiménez Salinas,politician,154000000000000    
63,Tune Hotels,company,445000000000000    
64,Préfète de la Lozère,government,277000000000000    
65,GoBank,company,288000000000000    
66,Green & Black's,company,190000000000    
67,Jennifer Newman,politician,1440000000000000    
68,SVT Kortfilm,tvshow,129000000000000    
69,Toute la vérité,tvshow,248000000000    
70,Modern Marvels,tvshow,49649942718    
71,Monika Lazar,politician,1010000000000000    
72,T.C. Boston Başkonsolosluğu-Turkish Consulate General in Boston,government,501000000000000    
73,Benjamin Strasser,politician,140000000000000    
74,Embajada de Rumania en Buenos Aires,government,1430000000000000    
75,"Headquarters and Headquarters Company (HHC), 16th Military Police Brigade",government,396000000000000    
76,Lazada Super Moms,company,329000000000000    
77,Fernando Ruas,politician,1420000000000000    
78,Victoria Prentis,politician,729000000000000    
79,11.22.63,tvshow,537000000000000    
